exit_time,exit_ns,pnl_pips,cum_pnl,drawdown,pair,year
2022-08-04 20:00:00+00:00,1659643200000000,11.3,200814.3,160.4,NZD_USD,2022
2022-08-04 21:15:00+00:00,1659647700000000,-4.0,200810.3,164.4,CHF_JPY,2022
2022-08-04 21:20:00+00:00,1659648000000000,10.2,200820.5,154.2,GBP_USD,2022
2022-08-04 22:00:00+00:00,1659650400000000,9.9,200830.4,144.3,AUD_CAD,2022
2022-08-05 00:00:00+00:00,1659657600000000,57.5,200887.9,86.8,EUR_USD,2022
2022-08-05 00:00:00+00:00,1659657600000000,13.5,200901.4,73.3,NZD_CAD,2022
2022-08-05 00:15:00+00:00,1659658500000000,-9.2,200892.2,82.5,EUR_JPY,2022
2022-08-05 00:25:00+00:00,1659659100000000,-0.5,200891.7,83.0,AUD_NZD,2022
2022-08-05 01:00:00+00:00,1659661200000000,36.7,200928.4,46.3,USD_CHF,2022
2022-08-05 01:00:00+00:00,1659661200000000,60.8,200989.2,0.0,EUR_AUD,2022
2022-08-05 01:00:00+00:00,1659661200000000,-2.4,200986.8,2.4,GBP_AUD,2022
2022-08-05 02:00:00+00:00,1659664800000000,76.7,201063.5,0.0,CAD_JPY,2022
2022-08-05 02:00:00+00:00,1659664800000000,58.7,201122.2,0.0,USD_JPY,2022
2022-08-05 02:15:00+00:00,1659665700000000,-0.9,201121.3,0.9,NZD_USD,2022
2022-08-05 03:00:00+00:00,1659668400000000,-10.6,201110.7,11.5,CHF_JPY,2022
2022-08-05 03:00:00+00:00,1659668400000000,-7.6,201103.1,19.1,NZD_CAD,2022
2022-08-05 03:50:00+00:00,1659671400000000,-2.6,201100.5,21.7,NZD_USD,2022
2022-08-05 04:15:00+00:00,1659672900000000,-0.3,201100.2,22.0,EUR_USD,2022
2022-08-05 04:45:00+00:00,1659674700000000,1.6,201101.8,20.4,AUD_NZD,2022
2022-08-05 05:00:00+00:00,1659675600000000,-6.2,201095.6,26.6,EUR_AUD,2022
2022-08-05 06:35:00+00:00,1659681300000000,-6.4,201089.2,33.0,GBP_USD,2022
2022-08-05 06:35:00+00:00,1659681300000000,-24.7,201064.5,57.7,GBP_AUD,2022
